categpry,vtype,priority,rank,project,origin commit,buggy commit,buggy path,buggy start,buggy end,fixer,fixer path,method,field,resolution,life time
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-codec,c35dcd2b488f4d2368d8db6d0f92c27b03794cc8,23f2aa4fb66aa5b026184ed17b6ad070da183794,src/main/java/org/apache/commons/codec/language/bm/Languages.java,121,121,,,restrictTo(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,NO_FIELD,unfixed,218
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,3,20,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,0abbd912f1775a645ea338783b63728ab2a903ea,src/java/org/apache/commons/codec/StringEncoderComparator.java,46,83,,,NO_METHOD,NO_FIELD,unfixed,551
BAD_PRACTICE,SE_COMPARATOR_SHOULD_BE_SERIALIZABLE,3,20,commons-codec,3400e5ef1c02763ce22c542aa5ec3f9e3ea04067,3c8d0eec6f9e487b0e9ec8fb7e3b251be8e77428,src/java/org/apache/commons/codec/StringEncoderComparator.java,30,71,,,NO_METHOD,NO_FIELD,unfixed,1581
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,1f01bb7e9d30b42709aebd4a88dbf0d067a64782,src/java/org/apache/commons/codec/net/URLCodec.java,121,121,,,encodeUrl(Ljava/util/BitSet;[B)[B,NO_FIELD,unfixed,0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,f375d169f8e030169d63d9da00bb14ae2da2ac34,src/java/org/apache/commons/codec/net/URLCodec.java,165,165,,,decodeUrl([B)[B,NO_FIELD,unfixed,866
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,9a84b3a53b37204c6ae9549ba41037c60f15479b,a24c42d464ac96fa6899a507758340766966a8f3,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,681,699,,,hash64([BIII)J,NO_FIELD,unfixed,1002
I18N,DM_DEFAULT_ENCODING,1,19,commons-codec,a5dabc871c184452f437cf4ee30af20b22053c43,fb5e3f403b8483627d9661fcf2985e78c8640c83,src/java/org/apache/commons/codec/digest/DigestUtils.java,181,181,,,sha(Ljava/lang/String;)[B,NO_FIELD,unfixed,235
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-codec,c35dcd2b488f4d2368d8db6d0f92c27b03794cc8,3c8d0eec6f9e487b0e9ec8fb7e3b251be8e77428,src/java/org/apache/commons/codec/language/bm/Languages.java,118,118,,,restrictTo(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,NO_FIELD,unfixed,1593
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,4fd068a2250664d02eac1e49355d5f7a365136e4,51a910cda747695500a84f36c540a189ccc2c484,src/main/java/org/apache/commons/codec/digest/MurmurHash3.java,346,358,,,hash32([BIII)I,NO_FIELD,unfixed,30
DODGY_CODE,SF_SWITCH_FALLTHROUGH,3,20,commons-codec,9a84b3a53b37204c6ae9549ba41037c60f15479b,b5b90e9f6500d72fc68304d4aa1a5f41a4e2e46b,src/main/java/org/apache/commons/codec/digest/MurmurHash2.java,203,205,,,hash64([BII)J,NO_FIELD,unfixed,226
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,f4fc386ef66d0f2b2fda3578cc83312b69804813,1e48e151ea23f8891902834a4553a806c1312d60,src/main/java/org/apache/commons/codec/net/QCodec.java,171,171,,,doDecoding([B)[B,NO_FIELD,unfixed,1044
DODGY_CODE,BC_UNCONFIRMED_CAST,3,20,commons-codec,f4fc386ef66d0f2b2fda3578cc83312b69804813,52cfc73491e417366c77c226a7b01b40f7677f9a,src/main/java/org/apache/commons/codec/language/bm/Languages.java,119,119,,,restrictTo(Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;)Lorg/apache/commons/codec/language/bm/Languages$LanguageSet;,NO_FIELD,unfixed,170
DODGY_CODE,SF_SWITCH_NO_DEFAULT,2,19,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,f375d169f8e030169d63d9da00bb14ae2da2ac34,src/java/org/apache/commons/codec/binary/Base64.java,463,480,,,encode([BII)V,NO_FIELD,unfixed,866
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,f4fc386ef66d0f2b2fda3578cc83312b69804813,e9da3d16ae67f2940a0bbdf982ecec19a0481981,src/main/java/org/apache/commons/codec/net/URLCodec.java,123,123,,,encodeUrl(Ljava/util/BitSet;[B)[B,NO_FIELD,unfixed,491
DODGY_CODE,SF_SWITCH_FALLTHROUGH,3,20,commons-codec,ee7ee35245d3863d16c884a8e1c381ea8ab3472b,752d64769a5ec69b832d974dd679448ae45088e1,src/main/java/org/apache/commons/codec/digest/PureJavaCrc32.java,78,79,,,update([BII)V,NO_FIELD,unfixed,0
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,89b1661fde38bd12c4d83b9fbe696db0c8657a78,ad30a000ce7feb350db3f63aca9c8cdefcbd4687,src/main/java/org/apache/commons/codec/binary/StringUtils.java,174,174,,,getBytesUnchecked(Ljava/lang/String;Ljava/lang/String;)[B,NO_FIELD,unfixed,954
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,2576c599bbcfc77272cd138fab749df9218ba622,23f2aa4fb66aa5b026184ed17b6ad070da183794,src/main/java/org/apache/commons/codec/net/URLCodec.java,127,127,,,encodeUrl(Ljava/util/BitSet;[B)[B,NO_FIELD,unfixed,360
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,4cc8b66909d3f530f8509785dfb958d71526f3f0,48298494ef82deed8e3002ac6696349b146bd77a,src/java/org/apache/commons/codec/binary/StringUtils.java,153,153,,,getBytesUnchecked(Ljava/lang/String;Ljava/lang/String;)[B,NO_FIELD,unfixed,43
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,89b1661fde38bd12c4d83b9fbe696db0c8657a78,9bd2cda3bcf4cc55ed1396c9c3c6415328c7b32e,src/main/java/org/apache/commons/codec/net/BCodec.java,101,101,,,doDecoding([B)[B,NO_FIELD,unfixed,1291
DODGY_CODE,PZLA_PREFER_ZERO_LENGTH_ARRAYS,3,20,commons-codec,7028095497c29edde3c0f320080f7d4aa5b22c98,0abbd912f1775a645ea338783b63728ab2a903ea,src/java/org/apache/commons/codec/net/URLCodec.java,126,126,,,encodeUrl(Ljava/util/BitSet;[B)[B,NO_FIELD,unfixed,551
