category,average,median,density
BAD_PRACTICE,136.2093023255814,76.0,0.029054054054054056
CORRECTNESS,10.634146341463415,1.0,0.18636363636363637
DODGY_CODE,254.74603174603175,170.0,0.03829787234042553
EXPERIMENTAL,196.11111111111111,199.0,0.06766917293233082
I18N,412.1111111111111,101.0,0.015817223198594025
MALICIOUS_CODE,65.0,65.0,0.16666666666666666
Multithreaded correctness,286.3,212.5,0.06172839506172839
PERFORMANCE,377.21666666666664,210.0,0.05655042412818096
SECURITY,157.5,157.5,0.053231939163498096
