,fixed,unfixed,unknown
AvgCyclomatic,0.3105777679578808,0.3427307701356475,0.3466914619064716
AvgCyclomaticModified,0.3128099143752878,0.34306755090245417,0.34412253472225796
AvgCyclomaticStrict,0.33864058077590703,0.33467772200702506,0.3266816972170679
AvgEssential,0.3882304502543893,0.36799694144634293,0.2437726082992677
AvgLine,0.3192442244275367,0.3506752553528786,0.3300805202195847
AvgLineBlank,0.18480771653763775,0.3166412341980373,0.49855104926432503
AvgLineCode,0.25569953706393944,0.3510385392656297,0.39326192367043084
AvgLineComment,0.4721190699005168,0.3631882312969773,0.16469269880250587
CountClassBase,0.3058981806979784,0.3995022034177852,0.29459961588423644
CountClassCoupled,0.5171685319838889,0.3158125827418057,0.16701888527430547
CountClassCoupledModified,0.5171685319838889,0.3158125827418057,0.16701888527430547
CountClassDerived,0.7932816537467701,0.20671834625323,0.0
CountDeclClass
CountDeclClassMethod,0.08501362046869869,0.3455928284851334,0.569393551046168
CountDeclClassVariable,0.7030516521223095,0.2689197105837777,0.02802863729391267
CountDeclExecutableUnit
CountDeclFile
CountDeclFunction
CountDeclInstanceMethod,0.6513477938962278,0.2946439677033592,0.05400823840041275
CountDeclInstanceVariable,0.5422781307091097,0.3143533549296079,0.14336851436128237
CountDeclMethod,0.6395137910283227,0.2957085846607981,0.0647776243108792
CountDeclMethodAll,0.6980374993152627,0.2842496444037232,0.017712856281014176
CountDeclMethodDefault,0.685090040998495,0.18745134672271524,0.12745861227878977
CountDeclMethodPrivate,0.6623943388831555,0.29763717806669826,0.0399684830501464
CountDeclMethodProtected,0.6412755883581673,0.3587244116418326,0.0
CountDeclMethodPublic,0.6361959984578235,0.2937212110143869,0.07008279052778962
CountInput,0.5796315476241187,0.2935740513331053,0.12679440104277595
CountLine,0.5508020208173113,0.24941973962676223,0.19977823955592647
CountLineBlank,0.5454135468291704,0.22819612831478928,0.22639032485604021
CountLineCode,0.461765562829323,0.28056435708966043,0.2576700800810166
CountLineCodeDecl,0.49570454816893295,0.26270232246895653,0.24159312936211066
CountLineCodeExe,0.4419135462527389,0.2773582511783702,0.2807282025688908
CountLineComment,0.6440851563704233,0.22453252016992842,0.13138232345964831
CountOutput,0.25599701087727084,0.23859604641814025,0.505406942704589
CountPath,0.7168034834901557,0.276478448641377,0.006718067868467339
CountPathLog,0.5578925747779729,0.3771930631301752,0.06491436209185192
CountSemicolon,0.44675714545845663,0.27015087576273866,0.2830919787788047
CountStmt,0.4671407007394908,0.27944482776470136,0.2534144714958078
CountStmtDecl,0.4870825949127218,0.2615113079082138,0.2514060971790644
CountStmtExe,0.45736260068777984,0.28823816253585216,0.25439923677636805
Cyclomatic,0.38374437449944004,0.35534834385186986,0.2609072816486902
CyclomaticModified,0.38917827220947737,0.34311914430658663,0.26770258348393616
CyclomaticStrict,0.42758781341434715,0.34355035826214914,0.22886182832350363
Essential,0.33756397334403226,0.3648070769441536,0.2976289497118142
Knots,0.2369662621287202,0.6373698109848372,0.12566392688644254
MaxCyclomatic,0.3997648148235984,0.3923440402303107,0.20789114494609093
MaxCyclomaticModified,0.4020130684709654,0.39253110723902596,0.20545582429000867
MaxCyclomaticStrict,0.4263030944378616,0.38304256994592123,0.19065433561621714
MaxEssential,0.4486946745510561,0.384349167476458,0.16695615797248597
MaxEssentialKnots,0.328391187610339,0.4353075877522871,0.23630122463737388
MaxInheritanceTree,0.44968704347326754,0.31605738039182096,0.23425557613491146
MaxNesting,0.34347826010991817,0.3804551009232317,0.2760666389668501
MinEssentialKnots,0.2305641492019412,0.48286819376439605,0.2865676570336627
PercentLackOfCohesion,0.47117794864442714,0.4028039569295313,0.12601809442604148
PercentLackOfCohesionModified,0.5382604857359288,0.36667619719273215,0.09506331707133908
RatioCommentToCode,0.4849715152917067,0.26325115461744897,0.25177733009084435
SumCyclomatic,0.5097476203114396,0.30552207468248144,0.18473030500607895
SumCyclomaticModified,0.5140311222389768,0.3000038812212181,0.1859649965398052
SumCyclomaticStrict,0.526687809246786,0.30079967478980396,0.17251251596340986
SumEssential,0.5409107020518471,0.2898749700915395,0.16921432785661344
